nullFieldList,name,owner,isOrdered,description,isMatrixOption,scriptId,convertToCustomRecord,isInactive,customValueList,translationsList,internalId
,Rating,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_esc_ratings,,False,,,102
,Industry,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",False,,,customlist_esc_industries,,False,,,103
,Scorecard Comparison Type,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_dt_tile_comparetype,,False,,,111
,Dashboard Tile Alert Operators,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_dt_tile_alertops,,False,,,112
,Dashboard Tile Types,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_dt_tile_type,,False,,,113
,Dashboard Tile Trans Fields,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_dt_tile_transflds,,False,,,114
,Scorecard Summary Type,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_dt_tile_summarytype,,False,,,115
,Dashboard Wrapping,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_dt_wrapping,,False,,,116
,DT Translatable Fields,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_dt_translatable_flds,,False,,,117
,Approved by Creator,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_atlas_appr_by_creator,,False,,,118
,Link,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_atlas_link,,False,,,119
,Customer Type,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_atlas_cust_type,,False,,,120
,License Cache Status,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,License Cache Status:<br>ACTIVE<br>STALE - when license cache record is replaced by a new record (by pulling/requesting new license data)<br>UNKNOWN- when the server is not responding (after n retries) and if license data has been tampered with,,customlist_8299_license_cache_status,,False,,,125
,Client Audit Trail Type,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_8299_cat_type,,False,,,126
,Payment Type,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_payment_type,,False,,,151
,Billing Type,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_billing_type,,False,,,152
