accountContextSearch,acctName,acctNumber,acctType,custrecord_cash360_exclude_account,custrecord_cps_bdc_lastupdatedbyimp_acc,custrecord_cps_bdc_updatedbyimp_acc,id,includeChildren,inventory,isInactive,isSummary,lastModifiedDate,localizations,subsidiary,unit,unitsType,cashFlowRate,currency,eliminate,generalRate,reconcileWithMatching,revalue,description,externalId,curDocNum,parent,sSpecAcct
"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/2760/accountContextSearch'}]}",Head Count,100,"{'id': 'Stat', 'refName': 'Statistical'}",False,False,False,2760,True,False,False,False,2024-10-15T15:20:00Z,"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/2760/localizations'}]}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/2760/subsidiary'}]}",4,"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/unitstype/3'}], 'id': '3', 'refName': 'Quantity'}",,,,,,,,,,,
"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1984/accountContextSearch'}]}",Woodhaven/ Ridglea -Checking,10011,"{'id': 'Bank', 'refName': 'Bank'}",False,False,False,1984,False,False,False,False,2023-05-03T18:32:00Z,"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1984/localizations'}]}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1984/subsidiary'}]}",,,"{'id': 'AVERAGE', 'refName': 'Average'}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/currency/1'}], 'id': '1', 'refName': 'USD'}",False,"{'id': 'CURRENT', 'refName': 'Current'}",True,True,,,,,
"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1985/accountContextSearch'}]}",Bank of Texas - Main Checking,10031,"{'id': 'Bank', 'refName': 'Bank'}",False,False,False,1985,False,False,False,False,2023-05-03T18:52:00Z,"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1985/localizations'}]}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1985/subsidiary'}]}",,,"{'id': 'AVERAGE', 'refName': 'Average'}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/currency/1'}], 'id': '1', 'refName': 'USD'}",False,"{'id': 'CURRENT', 'refName': 'Current'}",True,True,,,,,
"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1986/accountContextSearch'}]}",Bank of Texas - Johnnie,10061,"{'id': 'Bank', 'refName': 'Bank'}",False,False,False,1986,False,False,False,False,2023-05-03T18:53:00Z,"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1986/localizations'}]}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1986/subsidiary'}]}",,,"{'id': 'AVERAGE', 'refName': 'Average'}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/currency/1'}], 'id': '1', 'refName': 'USD'}",False,"{'id': 'CURRENT', 'refName': 'Current'}",True,True,,,,,
"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1987/accountContextSearch'}]}",Petty Cash,10501,"{'id': 'Bank', 'refName': 'Bank'}",False,False,False,1987,False,False,False,False,2023-05-03T18:55:00Z,"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1987/localizations'}]}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1987/subsidiary'}]}",,,"{'id': 'AVERAGE', 'refName': 'Average'}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/currency/1'}], 'id': '1', 'refName': 'USD'}",False,"{'id': 'CURRENT', 'refName': 'Current'}",True,True,,,,,
"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1988/accountContextSearch'}]}",Petty Cash- SDC Medical Center,10551,"{'id': 'Bank', 'refName': 'Bank'}",False,False,False,1988,False,False,False,False,2023-05-03T19:26:00Z,"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1988/localizations'}]}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1988/subsidiary'}]}",,,"{'id': 'AVERAGE', 'refName': 'Average'}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/currency/1'}], 'id': '1', 'refName': 'USD'}",False,"{'id': 'CURRENT', 'refName': 'Current'}",True,True,,,,,
"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1736/accountContextSearch'}]}",Bill.com Money In Clearing,1071,"{'id': 'Bank', 'refName': 'Bank'}",False,True,False,1736,False,False,False,False,2024-04-25T14:48:00Z,"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1736/localizations'}]}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/1736/subsidiary'}]}",,,"{'id': 'AVERAGE', 'refName': 'Average'}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/currency/1'}], 'id': '1', 'refName': 'USD'}",False,"{'id': 'CURRENT', 'refName': 'Current'}",True,True,For payments received via Bill.com,0ca02NUYJUNVIEQ5yhi7,,,
"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/830/accountContextSearch'}]}",Bill.com Money In Clearing (ADV),10710-01,"{'id': 'Bank', 'refName': 'Bank'}",False,False,False,830,False,False,False,False,2022-04-25T19:51:00Z,"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/830/localizations'}]}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/830/subsidiary'}]}",,,"{'id': 'AVERAGE', 'refName': 'Average'}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/currency/1'}], 'id': '1', 'refName': 'USD'}",False,"{'id': 'CURRENT', 'refName': 'Current'}",True,True,,10710-01,,,
"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/831/accountContextSearch'}]}",Bill.com Money In Clearing (AAC),10710-02,"{'id': 'Bank', 'refName': 'Bank'}",False,False,False,831,False,False,False,False,2022-04-25T19:51:00Z,"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/831/localizations'}]}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/831/subsidiary'}]}",,,"{'id': 'AVERAGE', 'refName': 'Average'}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/currency/1'}], 'id': '1', 'refName': 'USD'}",False,"{'id': 'CURRENT', 'refName': 'Current'}",True,True,,10710-02,,,
"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/832/accountContextSearch'}]}",Bill.com Money In Clearing (ARG),10710-03,"{'id': 'Bank', 'refName': 'Bank'}",False,False,False,832,False,False,False,False,2022-06-02T15:57:00Z,"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/832/localizations'}]}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/832/subsidiary'}]}",,,"{'id': 'AVERAGE', 'refName': 'Average'}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/currency/1'}], 'id': '1', 'refName': 'USD'}",False,"{'id': 'CURRENT', 'refName': 'Current'}",True,True,,10710-03,,,
"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/833/accountContextSearch'}]}",Bill.com Money In Clearing (ARM),10710-04,"{'id': 'Bank', 'refName': 'Bank'}",False,False,False,833,False,False,False,False,2022-06-02T15:58:00Z,"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/833/localizations'}]}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/833/subsidiary'}]}",,,"{'id': 'AVERAGE', 'refName': 'Average'}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/currency/1'}], 'id': '1', 'refName': 'USD'}",False,"{'id': 'CURRENT', 'refName': 'Current'}",True,True,,10710-04,,,
"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/834/accountContextSearch'}]}",Bill.com Money In Clearing (FMGO),10710-05,"{'id': 'Bank', 'refName': 'Bank'}",False,False,False,834,False,False,False,False,2022-05-10T16:13:00Z,"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/834/localizations'}]}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/834/subsidiary'}]}",,,"{'id': 'AVERAGE', 'refName': 'Average'}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/currency/1'}], 'id': '1', 'refName': 'USD'}",False,"{'id': 'CURRENT', 'refName': 'Current'}",True,True,,10710-05,,,
"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/835/accountContextSearch'}]}",Bill.com Money In Clearing (FLYR),10710-06,"{'id': 'Bank', 'refName': 'Bank'}",False,False,False,835,False,False,False,False,2022-06-02T15:58:00Z,"{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/835/localizations'}]}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/account/835/subsidiary'}]}",,,"{'id': 'AVERAGE', 'refName': 'Average'}","{'links': [{'rel': 'self', 'href': 'https://7399703.suitetalk.api.netsuite.com/services/rest/record/v1/currency/1'}], 'id': '1', 'refName': 'USD'}",False,"{'id': 'CURRENT', 'refName': 'Current'}",True,True,,10710-06,,,
