links,account,accountingbook,accountingperiod,activitydate,amount,customtype,entity,location,subsidiary,transactiontype,item,quantity,salesrep,department
[],1,1,22,3/22/2022,0,-1,52,2,1,CustPymt,,,,
[],1,1,22,3/22/2022,0,-1,52,2,1,CustPymt,,,,
[],1,1,22,3/23/2022,0,-1,52,2,1,CustPymt,,,,
[],1,1,22,3/23/2022,0,-1,52,2,1,CustPymt,,,,
[],1,1,24,4/14/2022,0,-1,,,1,Journal,,,,
[],1,1,22,3/24/2022,0,-1,53,,1,VendPymt,,,,
[],1,1,22,3/24/2022,0,-1,53,,1,VendPymt,,,,
[],1,1,25,5/17/2022,0,-1,,,1,Journal,,,,
[],1,1,25,5/19/2022,0,-1,,,1,Journal,,,,
[],1,1,,5/17/2022,0,-1,,,1,Journal,,,,
[],52,1,25,5/1/2022,-436019.74,-1,,,13,Journal,,,,
[],52,1,50,10/31/2021,-2717646.06,-1,,,12,Journal,,,,
[],52,1,51,11/1/2021,2717646.06,-1,,,12,Journal,,,,
[],52,1,50,10/1/2021,2717646.06,-1,,,12,Journal,,,,
[],52,1,48,9/30/2021,13651.54,-1,,,11,Journal,,,,
[],52,1,50,10/1/2021,-13651.54,-1,,,11,Journal,,,,
[],52,1,44,6/30/2021,-2717646.06,-1,,,12,Journal,,,,
[],52,1,46,7/1/2021,2717646.06,-1,,,12,Journal,,,,
[],52,1,24,4/30/2022,-9855863.01,-1,,,15,Journal,,,,
[],52,1,25,5/31/2022,106577.46,-1,,,19,Journal,,,,
[],52,1,25,5/31/2022,60514,-1,,,22,Journal,,,,
[],52,1,20,1/31/2022,0,-1,,,28,Journal,,,,
[],52,1,21,2/1/2022,-4062.74,-1,,,28,Journal,,,,
[],52,1,22,3/31/2022,0,-1,,,28,Journal,,,,
[],52,1,24,4/1/2022,0,-1,,,28,Journal,,,,
[],52,1,40,3/31/2021,189272.64,-1,,,13,Journal,,,,
[],52,1,42,4/1/2021,-189272.64,-1,,,13,Journal,,,,
[],52,1,25,5/1/2022,9855863.01,-1,,,15,Journal,,,,
[],52,1,22,3/31/2022,52239.93,-1,,,11,Journal,,,,
[],52,1,38,1/31/2021,4062.74,-1,,,28,Journal,,,,
[],52,1,24,4/1/2022,-52239.93,-1,,,11,Journal,,,,
[],52,1,21,2/28/2022,-4364273.98,-1,,,12,Journal,,,,
[],52,1,22,3/1/2022,4364273.98,-1,,,12,Journal,,,,
[],52,1,24,4/30/2022,-4113003.71,-1,,,16,Journal,,,,
[],52,1,25,5/31/2022,160928.91,-1,,,6,Journal,,,,
[],52,1,25,5/1/2022,4113003.71,-1,,,16,Journal,,,,
[],52,1,25,5/31/2022,413921.26,-1,,,27,Journal,,,,
[],52,1,20,1/1/2022,-52239.93,-1,,,11,Journal,,,,
[],52,1,48,9/30/2021,189272.64,-1,,,13,Journal,,,,
[],52,1,21,2/28/2022,436019.74,-1,,,13,Journal,,,,
[],52,1,22,3/1/2022,-436019.74,-1,,,13,Journal,,,,
[],52,1,25,5/31/2022,-4364273.98,-1,,,12,Journal,,,,
[],52,1,50,10/1/2021,-189272.64,-1,,,13,Journal,,,,
[],52,1,51,11/30/2021,189272.64,-1,,,13,Journal,,,,
[],52,1,52,12/1/2021,-189272.64,-1,,,13,Journal,,,,
[],52,1,43,5/31/2021,-2717646.06,-1,,,12,Journal,,,,
[],52,1,44,6/1/2021,2717646.06,-1,,,12,Journal,,,,
[],52,1,47,8/31/2021,13651.54,-1,,,11,Journal,,,,
[],52,1,48,9/1/2021,-13651.54,-1,,,11,Journal,,,,
[],52,1,48,9/30/2021,-2717646.06,-1,,,12,Journal,,,,
[],52,1,24,4/30/2022,60514,-1,,,22,Journal,,,,
[],52,1,25,5/1/2022,-60514,-1,,,22,Journal,,,,
[],52,1,34,12/1/2022,-421831.02,-1,,,40,Journal,,,,
[],52,1,34,12/31/2022,602978.02,-1,,,40,Journal,,,,
[],52,1,62,12/31/2021,0,-1,,,13,Journal,,,,
[],52,1,62,6/26/2023,0,-1,,,15,Journal,,,,
[],52,1,34,12/31/2022,-59.2,-1,,,9,Journal,,,,
[],52,1,56,1/31/2023,0,-1,,,27,Journal,,,,
[],52,1,57,2/28/2023,-2600,-1,,,27,Journal,,,,
[],52,1,66,9/30/2023,0,-1,,,40,Journal,,,,
[],52,1,66,12/1/2022,0,-1,,,40,Journal,,,,
[],52,1,102,9/30/2024,-1075306.28,-1,,,40,Journal,,,,
[],52,1,102,9/30/2024,-47141.67,-1,,,36,Journal,,,,
[],52,1,71,12/31/2023,503630,-1,,,36,Journal,,,,
[],52,1,71,12/20/2023,891346.13,-1,,,15,Journal,,,,
[],52,1,70,12/31/2023,-503630,-1,,,36,Journal,,,,
[],52,1,92,12/31/2023,0,-1,,,27,Journal,,,,
[],52,1,71,12/31/2023,40845,-1,,,27,Journal,,,,
[],52,1,35,12/31/2022,-209179.45,-1,,,36,Journal,,,,
[],52,1,102,9/19/2024,0,-1,,,36,Journal,,,,
[],52,1,51,11/30/2021,60017.22,-1,,,27,Journal,,,,
[],52,1,39,2/1/2021,3289871.09,-1,,,5,Journal,,,,
[],52,1,51,11/1/2021,1.122118581E7,-1,,,15,Journal,,,,
[],52,1,42,4/30/2021,-1.122118581E7,-1,,,15,Journal,,,,
[],52,1,24,4/30/2022,160928.91,-1,,,6,Journal,,,,
[],52,1,25,5/1/2022,-160928.91,-1,,,6,Journal,,,,
[],52,1,43,5/31/2021,189272.64,-1,,,13,Journal,,,,
[],52,1,44,6/1/2021,-189272.64,-1,,,13,Journal,,,,
[],52,1,24,4/30/2022,52239.93,-1,,,11,Journal,,,,
[],52,1,25,5/1/2022,-52239.93,-1,,,11,Journal,,,,
[],52,1,42,4/1/2021,2717646.06,-1,,,12,Journal,,,,
[],52,1,24,4/30/2022,-4364273.98,-1,,,12,Journal,,,,
[],52,1,25,5/1/2022,4364273.98,-1,,,12,Journal,,,,
[],52,1,24,4/30/2022,19111.22,-1,,,2,Journal,,,,
[],52,1,25,5/1/2022,-19111.22,-1,,,2,Journal,,,,
[],52,1,39,2/28/2021,189272.64,-1,,,13,Journal,,,,
[],52,1,40,3/1/2021,-189272.64,-1,,,13,Journal,,,,
[],52,1,22,3/31/2022,-4364273.98,-1,,,12,Journal,,,,
[],52,1,24,4/1/2022,4364273.98,-1,,,12,Journal,,,,
[],52,1,40,3/31/2021,13651.54,-1,,,11,Journal,,,,
[],52,1,42,4/1/2021,-13651.54,-1,,,11,Journal,,,,
[],52,1,25,5/31/2022,-127370.29,-1,,,21,Journal,,,,
[],52,1,25,5/31/2022,473460.43,-1,,,14,Journal,,,,
[],52,1,42,4/30/2021,-2717646.06,-1,,,12,Journal,,,,
[],52,1,43,5/1/2021,2717646.06,-1,,,12,Journal,,,,
[],52,1,25,5/31/2022,19111.22,-1,,,2,Journal,,,,
[],52,1,25,5/1/2022,-413921.26,-1,,,27,Journal,,,,
[],52,1,25,5/31/2022,19655.92,-1,,,3,Journal,,,,
[],52,1,25,5/31/2022,-4113813.76,-1,,,18,Journal,,,,
[],52,1,44,6/30/2021,189272.64,-1,,,13,Journal,,,,
