links,account,accountingbook,accountingperiod,amount,department,iscustomglline,subsidiary
[],1,1,22,0,-1,F,1
[],1,1,24,0,-1,F,1
[],1,1,25,0,-1,F,1
[],52,1,20,0,-1,F,2
[],52,1,20,0,-1,F,3
[],52,1,20,0,-1,F,4
[],52,1,20,0,-1,F,5
[],52,1,20,17028.42,-1,F,6
[],52,1,20,0,-1,F,11
[],52,1,20,0,-1,F,12
[],52,1,20,0,-1,F,13
[],52,1,20,0,-1,F,14
[],52,1,20,40.38,-1,F,15
[],52,1,20,0,-1,F,16
[],52,1,20,0,-1,F,17
[],52,1,20,0,-1,F,18
[],52,1,20,0,-1,F,19
[],52,1,20,752610,-1,F,20
[],52,1,20,0,-1,F,21
[],52,1,20,0,-1,F,22
[],52,1,20,0,-1,F,23
[],52,1,20,0,-1,F,25
[],52,1,20,0,-1,F,27
[],52,1,20,0,-1,F,28
[],52,1,21,0,-1,F,2
[],52,1,21,0,-1,F,3
[],52,1,21,0,-1,F,4
[],52,1,21,0,-1,F,5
[],52,1,21,0,-1,F,6
[],52,1,21,0,-1,F,11
[],52,1,21,0,-1,F,12
[],52,1,21,0,-1,F,13
[],52,1,21,0,-1,F,14
[],52,1,21,0,-1,F,15
[],52,1,21,0,-1,F,16
[],52,1,21,0,-1,F,17
[],52,1,21,0,-1,F,18
[],52,1,21,0,-1,F,19
[],52,1,21,0,-1,F,20
[],52,1,21,0,-1,F,21
[],52,1,21,0,-1,F,22
[],52,1,21,0,-1,F,23
[],52,1,21,0,-1,F,25
[],52,1,21,0,-1,F,27
[],52,1,21,0,-1,F,28
[],52,1,22,0,-1,F,2
[],52,1,22,0,-1,F,3
[],52,1,22,0,-1,F,4
[],52,1,22,0,-1,F,5
[],52,1,22,0,-1,F,6
[],52,1,22,0,-1,F,11
[],52,1,22,0,-1,F,12
[],52,1,22,0,-1,F,13
[],52,1,22,0,-1,F,14
[],52,1,22,0,-1,F,15
[],52,1,22,0,-1,F,16
[],52,1,22,0,-1,F,17
[],52,1,22,0,-1,F,18
